year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80,code
2012,51,95,174,263,299,294,263,275,199,215,176,150,125,106,61,61,46,47,MT
2013,43,109,112,140,166,161,136,149,124,128,128,133,77,61,57,38,25,44,MT
2014,16,34,33,42,52,47,43,45,35,41,34,23,34,23,13,16,6,5,MT
2015,21,52,64,74,77,63,64,77,71,60,80,55,44,39,34,28,23,16,MT
2016,27,47,52,54,40,59,65,51,48,59,40,40,30,36,22,9,13,10,MT
2017,7,19,29,29,30,21,23,39,23,15,24,29,25,21,16,10,8,6,MT
2018,11,29,29,36,37,20,24,31,28,25,24,24,19,21,8,10,9,12,MT
2019,12,40,74,76,70,38,47,69,57,58,67,42,32,45,35,19,13,19,MT
2020,49,52,155,136,122,112,105,102,94,98,99,90,77,62,51,44,28,22,MT
2000,0,0,3,10,7,12,7,12,15,16,11,10,9,2,3,3,2,0,MS
2001,1,2,5,14,29,25,22,24,31,24,22,24,11,15,7,9,2,2,MS
2002,1,4,21,28,42,52,48,50,48,32,33,33,27,21,13,17,14,5,MS
2003,0,4,7,20,34,32,31,33,28,17,18,16,17,9,7,6,6,6,MS
2004,0,2,5,10,23,11,11,7,8,6,8,2,2,4,1,2,2,0,MS
2005,0,2,3,5,7,10,11,7,6,9,10,3,2,2,1,0,0,4,MS
2006,5,19,47,73,119,126,123,100,105,94,71,62,53,45,38,31,22,19,MS
2007,9,72,186,288,403,419,325,334,299,316,230,200,173,155,114,110,76,98,MS
2008,3,7,13,25,24,27,21,22,25,26,8,10,7,2,3,0,2,1,MS
2009,8,24,50,82,97,74,87,82,69,74,57,63,45,43,27,24,15,17,MS
2010,40,96,180,287,335,343,341,320,345,345,274,267,212,186,161,143,109,98,MS
2011,18,28,51,68,79,86,83,61,73,51,59,52,43,46,27,21,12,22,MS
2012,7,26,45,63,73,54,61,62,62,46,57,51,37,31,25,15,15,14,MS
2013,36,46,112,170,271,236,219,232,225,209,160,204,163,124,125,116,87,97,MS
2014,7,9,20,22,54,37,29,27,26,30,28,23,20,17,10,7,8,7,MS
2015,41,40,128,197,217,218,185,184,160,183,152,168,164,168,109,94,68,70,MS
2016,36,83,126,162,211,172,164,166,152,134,136,145,150,119,97,94,69,102,MS
2017,7,11,20,22,37,25,25,23,27,20,16,17,11,14,7,9,5,7,MS
2018,3,5,21,29,35,31,27,25,24,25,28,28,19,24,20,13,9,16,MS
2019,41,63,162,243,247,217,235,222,241,232,260,284,247,187,156,124,99,122,MS
2020,45,52,138,199,241,244,258,214,293,244,280,260,281,241,214,181,130,137,MS
2000,4,6,6,16,29,38,26,17,39,19,11,16,15,11,19,9,8,3,MG
2001,5,28,49,61,58,79,58,77,48,44,37,33,36,46,28,24,14,20,MG
2002,9,31,79,118,188,195,200,147,157,139,116,80,81,76,53,55,31,26,MG
2003,7,18,51,88,137,168,158,123,119,88,88,83,70,56,40,33,30,23,MG
2004,5,17,43,66,77,88,90,58,62,56,38,30,24,23,27,10,10,6,MG
2005,2,9,29,47,57,61,57,50,33,42,43,23,19,19,25,12,6,11,MG
2006,3,36,83,133,144,164,144,120,109,117,92,74,62,42,36,46,27,32,MG
2007,6,29,80,139,144,179,142,141,103,106,92,89,69,49,32,38,24,22,MG
2008,24,117,248,257,233,215,244,197,197,162,150,115,130,77,48,47,56,53,MG
2009,40,99,304,319,233,206,224,189,189,201,204,168,146,115,97,80,63,53,MG
2010,66,165,477,625,522,624,571,522,491,533,484,520,398,338,295,276,187,229,MG
2011,19,85,183,214,223,198,224,177,160,165,160,141,106,78,61,66,47,62,MG
2012,25,57,106,178,129,156,142,117,102,101,98,96,70,57,34,34,22,37,MG
2013,113,219,398,581,649,639,604,578,481,488,450,427,388,350,273,263,183,244,MG
2014,37,71,135,135,160,195,161,186,142,143,152,156,131,99,85,75,61,79,MG
2015,72,135,282,412,538,512,455,436,437,424,432,421,391,287,263,202,195,191,MG
2016,192,396,707,840,734,744,720,631,655,626,608,685,602,583,527,382,360,404,MG
2017,29,60,96,125,141,107,112,121,115,118,121,106,121,81,65,70,49,67,MG
2018,18,41,62,100,90,85,104,102,105,101,94,106,72,67,53,36,35,37,MG
2019,195,324,682,714,535,665,705,672,773,721,737,747,781,667,573,443,328,376,MG
2020,61,103,162,170,169,173,180,194,196,187,172,166,186,155,141,69,69,98,MG
2000,11,73,162,284,523,516,448,395,326,241,244,190,164,121,90,71,47,55,PA
2001,14,121,240,439,791,742,641,536,483,395,316,311,248,181,126,108,58,73,PA
2002,32,162,315,540,862,918,802,669,599,461,433,363,304,214,207,124,100,75,PA
2003,20,207,355,567,866,938,849,682,542,475,356,326,286,237,174,116,82,89,PA
2004,29,151,298,392,640,755,642,487,441,356,285,254,197,190,131,117,72,71,PA
2005,35,173,328,447,778,848,712,513,482,347,316,263,225,173,140,112,81,69,PA
2006,22,172,298,466,666,722,643,486,396,307,278,260,157,164,116,96,57,65,PA
2007,35,218,475,603,854,855,755,583,494,418,332,290,251,183,147,109,67,74,PA
2008,97,343,632,727,854,973,837,704,620,532,440,389,270,212,163,142,80,78,PA
2009,48,170,304,444,583,576,573,435,379,295,238,219,167,134,110,76,51,54,PA
2010,88,248,435,652,912,945,863,738,609,479,393,357,263,230,163,125,68,59,PA
2011,120,318,583,770,983,876,830,758,592,465,394,350,273,229,178,136,96,98,PA
2012,77,185,257,430,674,623,656,570,466,391,316,278,224,156,132,104,70,75,PA
2013,46,170,231,341,494,461,446,384,287,262,174,168,166,103,77,75,52,64,PA
2014,26,97,127,161,215,211,207,162,148,130,91,94,79,47,38,46,27,29,PA
2015,27,86,137,199,266,245,236,232,177,165,134,108,100,70,48,62,43,38,PA
2016,58,171,204,226,324,289,258,270,239,215,173,144,133,108,94,71,62,68,PA
2017,48,131,197,208,213,204,181,167,151,109,95,100,86,76,68,52,46,54,PA
2018,20,54,69,72,92,93,75,69,61,55,48,46,26,28,16,15,11,10,PA
2019,29,74,96,100,113,105,94,89,73,68,60,51,54,36,29,16,10,18,PA
2020,16,32,47,49,53,61,50,62,42,41,38,25,33,26,17,12,9,10,PA
2000,1,1,23,31,85,69,76,54,49,40,47,45,37,28,19,16,15,13,PB
2001,0,20,43,100,179,161,157,130,138,112,116,114,82,97,58,50,47,39,PB
2002,10,63,146,319,476,459,363,315,292,217,248,271,201,187,127,135,110,120,PB
2003,7,41,76,187,353,308,298,226,231,174,171,178,148,132,108,89,85,79,PB
2004,1,14,32,47,97,83,77,67,65,58,33,44,38,36,32,27,16,25,PB
2005,5,22,46,77,157,158,158,117,96,128,97,78,75,76,60,35,29,37,PB
2006,6,21,36,53,122,109,83,81,60,59,52,33,36,33,17,14,15,22,PB
2007,24,97,198,203,218,210,185,155,133,125,114,92,98,71,61,40,35,35,PB
2008,45,174,358,296,270,231,217,190,150,136,92,98,85,75,65,49,42,50,PB
2009,10,34,42,83,83,77,69,44,48,29,40,32,36,21,21,10,7,19,PB
2010,48,150,350,419,251,184,171,148,110,139,114,79,63,66,51,42,18,38,PB
2011,46,152,338,387,264,215,191,158,137,134,120,94,80,84,64,52,18,42,PB
2012,24,89,150,230,134,116,124,96,75,69,63,49,42,39,41,24,19,26,PB
2013,28,98,169,215,202,153,165,113,123,101,104,74,67,56,49,40,32,35,PB
2014,29,53,84,112,140,93,105,76,68,53,47,40,33,33,34,27,13,25,PB
2015,12,53,64,90,92,70,70,63,62,63,43,44,53,30,33,33,23,35,PB
2016,32,142,203,248,176,124,126,136,113,118,147,145,116,124,139,146,130,166,PB
2017,10,25,62,70,48,22,20,12,12,18,10,14,10,8,12,8,5,10,PB
2018,69,173,310,316,268,75,52,45,47,43,44,28,35,31,17,19,7,22,PB
2019,39,96,274,237,191,72,62,56,61,53,39,27,27,33,28,17,20,12,PB
2020,10,37,58,58,51,10,14,12,10,9,6,3,9,5,5,5,5,5,PB
2000,0,0,1,2,3,2,6,3,2,1,0,0,1,0,0,1,0,0,PR
2001,0,1,0,1,4,1,4,3,5,4,1,0,0,0,0,0,0,0,PR
2002,1,4,15,29,32,29,35,27,34,29,24,20,12,7,7,1,1,1,PR
2003,1,6,25,36,58,54,39,50,45,25,27,31,31,17,9,6,2,6,PR
2004,0,3,4,6,6,6,5,5,2,4,2,2,1,0,1,0,0,0,PR
2005,0,0,5,9,7,12,17,10,7,4,2,1,2,4,3,1,0,0,PR
2006,0,1,12,10,23,14,18,22,10,12,14,4,4,4,3,3,2,4,PR
2007,4,23,56,139,182,201,169,144,157,144,129,94,88,67,56,34,25,27,PR
